Дата,Тикер,Прогноз
2024-01-10 21:20:22,NVDA,449.3450317382813
2024-01-10 21:20:19,AMD,145.2913055419922
2024-01-10 21:20:12,TSLA,242.29910278320312
2024-01-10 21:14:04,TSLA,239.9889373779297
2024-01-10 21:08:42,DOCU,123.52371215820312
2024-01-10 21:08:36,DBX,130.5271453857422
2024-01-10 21:08:32,DBX,130.5271453857422
2024-01-10 21:08:19,DBX,130.5271453857422
2024-01-10 21:08:13,NFLX,465.6683654785156
2024-01-10 21:06:20,DBX,130.5271453857422
2024-01-10 21:06:14,ORCL,120.61237335205078
2024-01-10 21:06:06,GOOG,148.52244567871094
2024-01-10 21:05:43,SMCI,283.6542663574219
2024-01-10 21:05:38,VZ,125.38255310058594
2024-01-10 21:05:26,LTHM,126.91983795166016
2024-01-10 21:05:11,INTC,121.7769546508789
2024-01-10 21:05:01,AAPL,190.99932861328125
2024-01-10 21:04:55,AMD,142.24205017089844
2024-01-10 21:04:45,NVDA,472.0690612792969
2024-01-10 21:04:40,TSLA,240.80975341796875
2024-01-10 21:04:24,EBAY,126.1308364868164
2024-01-10 21:03:43,SMCI,283.6542663574219
2024-01-10 21:03:04,IBM,167.66888427734375
2024-01-10 21:02:36,DOCU,102.51148986816406
2024-01-10 21:02:26,QCOM,146.29698181152344
2024-01-10 21:02:00,MSTR,598.8497314453125
2024-01-10 21:01:52,VZ,95.61672
